Product Description,Frame,SHGC,U-VALUE
X2 Bronze S30 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Grey S10 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Grey S20 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Grey S30 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Regal Blue S10 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Regal Blue S20 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Regal Blue S30 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Silver S10 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Silver S20 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Silver S30 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Serene Green S10 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Serene Green S20 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 Serene Green S30 Solarshield & ClearVue,Primador Standard Patio door,0,0
X2 RESIDENTIAL PLUS,Primador Standard Patio door,0,0
X2 RESIDENTIAL ELITE,Primador Standard Patio door,0,0
X2 RESIDENTIAL SUPERIOR,Primador Standard Patio door,0,0
X2 Armourplate Low E & Clearvue,Primador Standard Patio door,0,0
X2 Armourplate Solar E & Clearvue,Primador Standard Patio door,0,0
X2 Intruderprufe Low E & Clearvue,Primador Standard Patio door,0,0
X2 Intruderprufe Solar E & Clearvue,Primador Standard Patio door,0,0
X2 Aquamarine  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Deep Aquamarine  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Coolblue  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Deep Coolblue  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Coolbronze  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Deep Coolbronze  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Coolgrey  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Deep Coolgrey  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Coral Rose Red  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Deep Red  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Evening Shadow Black  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Regal Blue  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Deep Regal Blue  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Ruby Red  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Sahara Sun Yellow  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Sapphire Blue  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Shadowlight 50  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Shadowlight 25  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Shadowlight 10  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 True Blue  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Serene Green  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Deep Serene Green  ColourVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 CoolVue Clear  & Intruderprufe low E,Primador Standard Patio door,0,0
X2 CoolVue Grey  & Intruderprufe low E,Primador Standard Patio door,0,0
X2 CoolVue Regal Blue  & Intruderprufe low E,Primador Standard Patio door,0,0
X2 CoolVue Serene Green & Intruderprufe low E,Primador Standard Patio door,0,0
X2 Aquamarine HL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Aquamarine XHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Blue HL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Blue XHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Bronze HL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Bronze XHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Grey HL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Grey XHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Neutral HL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Neutral XHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Neutral SHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Neutral MHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Regal Blue HL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Regal Blue XHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Serene Green HL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Serene Green XHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Serene Green SHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Serene Green MHL SolarVue & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Aquamarine S10 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Aquamarine S20 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Aquamarine S30 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Blue S10 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Blue S20 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Blue S30 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Bronze S10 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Bronze S20 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Bronze S30 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Grey S10 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Grey S20 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Grey S30 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Regal Blue S10 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Regal Blue S20 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Regal Blue S30 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Silver S10 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Silver S20 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Silver S30 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Serene Green S10 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2Serene Green S20 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Serene Green S30 Solarshield & Intruderprufe Low E,Primador Standard Patio door,0,0
X2 Ener-G Smart Neutral & Clear Float,Primador Standard Patio door,0,0
X2 Ener-G Smart Aquamarine & Clear Float,Primador Standard Patio door,0,0
X2 Ener-G Smart Blue & Clear Float,Primador Standard Patio door,0,0
X2 Ener-G Smart Bronze & Clear Float,Primador Standard Patio door,0,0
X2 Ener-G Smart Grey & Clear Float,Primador Standard Patio door,0,0
X2 Ener-G Smart Regal Blue & Clear Float,Primador Standard Patio door,0,0
X2 Ener-G Smart Serene Green & Clear Float,Primador Standard Patio door,0,0
4 mm ClearVue,Primador Elite Sliding Door,0.61,0
5 mm ClearVue,Primador Elite Sliding Door,0.61,0
6 mm ClearVue,Primador Elite Sliding Door,0.61,0
8 mm ClearVue,Primador Elite Sliding Door,0.61,0
10 mm ClearVue,Primador Elite Sliding Door,0.61,0
12 mm ClearVue,Primador Elite Sliding Door,0.61,0
15 mm ClearVue,Primador Elite Sliding Door,0.61,0
19 mm ClearVue ,Primador Elite Sliding Door,0.61,0
"6,38mm Intruderprufe Clear NS",Primador Elite Sliding Door,0.61,0
COLOURVUE Aquamarine  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Deep Aquamarine  ,Primador Elite Sliding Door,0.59,0
COLOURVUE Coolblue  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Deep Coolblue  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Coolbronze  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Deep Coolbronze  ,Primador Elite Sliding Door,0.5,0
COLOURVUE Coolgrey  ,Primador Elite Sliding Door,0.6,0
COLOURVUE Deep Coolgrey  ,Primador Elite Sliding Door,0.48,0
COLOURVUE Coral Rose Red  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Dark Red  ,Primador Elite Sliding Door,0.49,0
COLOURVUE Evening Shadow Black  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Regal Blue  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Deep Regal Blue  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Ruby Red  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Sahara Sun Yellow  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Sapphire Blue  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Shadowlight 50  ,Primador Elite Sliding Door,0.61,0
COLOURVUE Shadowlight 25  ,Primador Elite Sliding Door,0.49,0
COLOURVUE Shadowlight 10  ,Primador Elite Sliding Door,0.36,0
COLOURVUE True Blue  ,Primador Elite Sliding Door,0.54,0
COLOURVUE Serene Green  ,Primador Elite Sliding Door,0.59,0
COLOURVUE Deep Serene Green  ,Primador Elite Sliding Door,0.5,0
COLOURVUE TRANSLUCENT Aquamarine Translucent  ,Primador Elite Sliding Door,0.5,0
COLOURVUE TRANSLUCENT Arctic Snow White  ,Primador Elite Sliding Door,0.61,0
COLOURVUE TRANSLUCENT Blue Translucent  ,Primador Elite Sliding Door,0.6,0
COLOURVUE TRANSLUCENT Regal Blue Translucent  ,Primador Elite Sliding Door,0.46,0
COLOURVUE TRANSLUCENT Bronze Translucent  ,Primador Elite Sliding Door,0.5,0
COLOURVUE TRANSLUCENT Grey Translucent  ,Primador Elite Sliding Door,0.5,0
COOLVUE CoolVue Clear  ,Primador Elite Sliding Door,0.47,0
COOLVUE CoolVue Regal Blue  ,Primador Elite Sliding Door,0.39,0
COOLVUE CoolVue Grey  ,Primador Elite Sliding Door,0.34,0
COOLVUE CoolVue Serene Green  ,Primador Elite Sliding Door,0.41,0
SOLARVUE Aquamarine HL ,Primador Elite Sliding Door,0.46,0
SOLARVUE Aquamarine XHL ,Primador Elite Sliding Door,0.52,0
SOLARVUE Blue HL ,Primador Elite Sliding Door,0.47,0
SOLARVUE Blue XHL ,Primador Elite Sliding Door,0.53,0
SOLARVUE Bronze HL ,Primador Elite Sliding Door,0.42,0
SOLARVUE Bronze XHL ,Primador Elite Sliding Door,0.46,0
SOLARVUE Grey HL ,Primador Elite Sliding Door,0.41,0
SOLARVUE Grey XHL ,Primador Elite Sliding Door,0.45,0
SOLARVUE Neutral HL ,Primador Elite Sliding Door,0.5,0
SOLARVUE Neutral XHL ,Primador Elite Sliding Door,0.56,0
SOLARVUE Neutral SHL ,Primador Elite Sliding Door,0.61,0
SOLARVUE Neutral MHL ,Primador Elite Sliding Door,0.61,0
SOLARVUE Regal Blue HL ,Primador Elite Sliding Door,0.45,0
SOLARVUE Regal Blue XHL ,Primador Elite Sliding Door,0.51,0
SOLARVUE Serene Green HL ,Primador Elite Sliding Door,0.43,0
SOLARSHIELD Aquamarine S10 ,Primador Elite Sliding Door,0.25,0
SOLARSHIELD Aquamarine S20 ,Primador Elite Sliding Door,0.33,0
SOLARSHIELD Aquamarine S30 ,Primador Elite Sliding Door,0.41,0
SOLARSHIELD Blue S10 ,Primador Elite Sliding Door,0.25,0
SOLARSHIELD Blue S20 ,Primador Elite Sliding Door,0.33,0
SOLARSHIELD Blue S30 ,Primador Elite Sliding Door,0.41,0
SOLARSHIELD Bronze S10 ,Primador Elite Sliding Door,0.26,0
SOLARSHIELD Bronze S20 ,Primador Elite Sliding Door,0.32,0
SOLARSHIELD Bronze S30 ,Primador Elite Sliding Door,0.38,0
SOLARSHIELD Grey S10 ,Primador Elite Sliding Door,0.26,0
SOLARSHIELD Grey S20 ,Primador Elite Sliding Door,0.32,0
SOLARSHIELD Grey S30 ,Primador Elite Sliding Door,0.37,0
SOLARSHIELD Regal Blue S10 ,Primador Elite Sliding Door,0.25,0
SOLARSHIELD Regal Blue S20 ,Primador Elite Sliding Door,0.32,0
SOLARSHIELD Regal Blue S30 ,Primador Elite Sliding Door,0.4,0
SOLARSHIELD Silver S10 ,Primador Elite Sliding Door,0.23,0
SOLARSHIELD Silver S20 ,Primador Elite Sliding Door,0.34,0
SOLARSHIELD Silver S30 ,Primador Elite Sliding Door,0.42,0
SOLARSHIELDSerene Green S10 ,Primador Elite Sliding Door,0.26,0
SOLARSHIELDSerene Green S20 ,Primador Elite Sliding Door,0.33,0
SOLARSHIELDSerene Green S30 ,Primador Elite Sliding Door,0.4,0
E RANGE Armourplate Low E TOUGHENED SAFETY GLASS ,Primador Elite Sliding Door,0.66,0
E RANGE Armourplate Solar E TOUGHENED SAFETY GLASS ,Primador Elite Sliding Door,0.51,0
E RANGE Intruderpufe Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.66,0
E RANGE Intruderpufe Solar E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.51,0
E RANGE Aquamarine Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.64,0
E RANGE Deep Aquamarine Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.56,0
E RANGE Cool Blue Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.66,0
E RANGE Deep Cool Blue Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.6,0
E RANGE Cool Bronze Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.57,0
E RANGE Deep Cool Bronze Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.46,0
E RANGE Cool Grey Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.55,0
E RANGE Deep Cool Grey Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.43,0
E RANGE Regal Blue Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.61,0
E RANGE Deep Regal Blue Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.51,0
E RANGE Serene Green Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.5,0
E RANGE Coolvue Clear Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.43,0
E RANGE Coolvue Regal Blue Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.35,0
E RANGE Coolvue Grey Low E LAMINATED SAFETY GLASS ,Primador Elite Sliding Door,0.3,0
E RANGE SOLARVUE Aquamarine HL ,Primador Elite Sliding Door,0.41,0
E RANGE SOLARVUE Aquamarine XHL ,Primador Elite Sliding Door,0.47,0
E RANGE SOLARVUE Blue HL ,Primador Elite Sliding Door,0.42,0
E RANGE SOLARVUE Blue XHL ,Primador Elite Sliding Door,0.47,0
E RANGE SOLARVUE Bronze HL ,Primador Elite Sliding Door,0.37,0
E RANGE SOLARVUE Bronze XHL ,Primador Elite Sliding Door,0.4,0
E RANGE SOLARVUE Grey HL ,Primador Elite Sliding Door,0.35,0
E RANGE SOLARVUE Grey XHL ,Primador Elite Sliding Door,0.4,0
E RANGE SOLARVUE Neutral HL ,Primador Elite Sliding Door,0.45,0
E RANGE SOLARVUE Neutral XHL ,Primador Elite Sliding Door,0.51,0
E RANGE SOLARVUE Neutral SHL ,Primador Elite Sliding Door,0.57,0
E RANGE SOLARVUE Neutral MHL ,Primador Elite Sliding Door,0.6,0
E RANGE SOLARVUE Regal Blue HL ,Primador Elite Sliding Door,0.4,0
E RANGE SOLARVUE Regal Blue XHL ,Primador Elite Sliding Door,0.45,0
E RANGE SOLARVUE Serene Green HL ,Primador Elite Sliding Door,0.37,0
E RANGE SOLARVUE Serene Green XHL ,Primador Elite Sliding Door,0.44,0
E RANGE SOLARVUE Serene Green SHL ,Primador Elite Sliding Door,0.46,0
E RANGE SOLARVUE Serene Green MHL ,Primador Elite Sliding Door,0.5,0
E RANGE SOLARSHIELD Aquamarine S10 ,Primador Elite Sliding Door,0.2,0
E RANGE SOLARSHIELD Aquamarine S20 ,Primador Elite Sliding Door,0.28,0
E RANGE SOLARSHIELD Aquamarine S30 ,Primador Elite Sliding Door,0.36,0
E RANGE SOLARSHIELD Blue S10 ,Primador Elite Sliding Door,0.2,0
E RANGE SOLARSHIELD Blue S20 ,Primador Elite Sliding Door,0.28,0
E RANGE SOLARSHIELD Blue S30 ,Primador Elite Sliding Door,0.36,0
E RANGE SOLARSHIELD Bronze S10 ,Primador Elite Sliding Door,0.21,0
E RANGE SOLARSHIELD Bronze S20 ,Primador Elite Sliding Door,0.26,0
E RANGE SOLARSHIELD Bronze S30 ,Primador Elite Sliding Door,0.33,0
E RANGE SOLARSHIELD Grey S10 ,Primador Elite Sliding Door,0.2,0
E RANGE SOLARSHIELD Grey S20 ,Primador Elite Sliding Door,0.26,0
E RANGE SOLARSHIELD Grey S30 ,Primador Elite Sliding Door,0.31,0
E RANGE SOLARSHIELD Regal Blue S10 ,Primador Elite Sliding Door,0.2,0
E RANGE SOLARSHIELD Regal Blue S20 ,Primador Elite Sliding Door,0.27,0
E RANGE SOLARSHIELD Regal Blue S30 ,Primador Elite Sliding Door,0.35,0
E RANGE SOLARSHIELD Silver S10 ,Primador Elite Sliding Door,0.18,0
E RANGE SOLARSHIELD Silver S20 ,Primador Elite Sliding Door,0.29,0
E RANGE SOLARSHIELD Silver S30 ,Primador Elite Sliding Door,0.37,0
E RANGE SOLARSHIELDSerene Green S10 ,Primador Elite Sliding Door,0.2,0
E RANGE SOLARSHIELDSerene Green S20 ,Primador Elite Sliding Door,0.26,0
E RANGE SOLARSHIELDSerene Green S30 ,Primador Elite Sliding Door,0.35,0
E RANGE ENER-G SMARTNeutral,Primador Elite Sliding Door,0.38,0
E RANGE ENER-G SMARTAquamarine,Primador Elite Sliding Door,0.35,0
E RANGE ENER-G SMARTBlue,Primador Elite Sliding Door,0.35,0
E RANGE ENER-G SMARTBronze,Primador Elite Sliding Door,0.3,0
E RANGE ENER-G SMARTGrey,Primador Elite Sliding Door,0.31,0
E RANGE ENER-G SMARTregal Blue,Primador Elite Sliding Door,0.33,0
E RANGE ENER-G SMARTSerene Green,Primador Elite Sliding Door,0.28,0
X2 RESIDENTIAL STANDARD,Primador Elite Sliding Door,0,0
X2 Intruderprufe & Intruderprufe Clear PVB,Primador Elite Sliding Door,0.66,0
X2 Aquamarine  ColourVue & ClearVue,Primador Elite Sliding Door,0.59,0
X2 Deep Aquamarine ColourVue & ClearVue,Primador Elite Sliding Door,0.48,0
X2 Coolblue  ColourVue & ClearVue,Primador Elite Sliding Door,0.59,0
X2 Deep Coolblue  ColourVue & ClearVue,Primador Elite Sliding Door,0.57,0
X2 Coolbronze  ColourVue & ClearVue,Primador Elite Sliding Door,0.5,0
X2 Deep Coolbronze  ColourVue & ClearVue,Primador Elite Sliding Door,0.38,0
X2 Coolgrey  ColourVue & ClearVue,Primador Elite Sliding Door,0.48,0
X2 Deep Coolgrey  ColourVue & ClearVue,Primador Elite Sliding Door,0.37,0
X2 Coral Rose Red  ColourVue & ClearVue,Primador Elite Sliding Door,0.59,0
X2 Deep Red  ColourVue & ClearVue,Primador Elite Sliding Door,0.38,0
X2 Evening Shadow Black  ColourVue & ClearVue,Primador Elite Sliding Door,0.5,0
X2 Regal Blue  ColourVue & ClearVue,Primador Elite Sliding Door,0.55,0
X2 Deep Regal Blue  ColourVue & ClearVue,Primador Elite Sliding Door,0.49,0
X2 Ruby Red  ColourVue & ClearVue,Primador Elite Sliding Door,0.59,0
X2 Sahara Sun Yellow  ColourVue & ClearVue,Primador Elite Sliding Door,0.59,0
X2 Sapphire Blue  ColourVue & ClearVue,Primador Elite Sliding Door,0.54,0
X2 Shadowlight 50  ColourVue & ClearVue,Primador Elite Sliding Door,0.51,0
X2 Shadowlight 25  ColourVue & ClearVue,Primador Elite Sliding Door,0.37,0
X2 Shadowlight 10  ColourVue & ClearVue,Primador Elite Sliding Door,0.24,0
X2 True Blue  ColourVue & ClearVue,Primador Elite Sliding Door,0.42,0
X2 Serene Green  ColourVue & ClearVue,Primador Elite Sliding Door,0.48,0
X2 Deep Serene Green ColourVue & ClearVue,Primador Elite Sliding Door,0.39,0
X2 Clear CoolVue & ClearVue,Primador Elite Sliding Door,0.38,0
X2 Grey CoolVue & ClearVue,Primador Elite Sliding Door,0.26,0
X2 Regal Blue CoolVue & ClearVue,Primador Elite Sliding Door,0.3,0
X2 Serene Green CoolVue & ClearVue,Primador Elite Sliding Door,0.32,0
X2 Aquamarine HL SolarVue & ClearVue,Primador Elite Sliding Door,0.35,0
X2 Aquamarine XHL SolarVue & ClearVue,Primador Elite Sliding Door,0.41,0
X2 Blue HL SolarVue & ClearVue,Primador Elite Sliding Door,0.36,0
X2 Blue XHL SolarVue & ClearVue,Primador Elite Sliding Door,0.42,0
X2 Bronze HL SolarVue & ClearVue,Primador Elite Sliding Door,0.31,0
X2 Bronze XHL SolarVue & ClearVue,Primador Elite Sliding Door,0.35,0
X2 Grey HL SolarVue & ClearVue,Primador Elite Sliding Door,0.3,0
X2 Grey XHL SolarVue & ClearVue,Primador Elite Sliding Door,0.34,0
X2 Regal Blue HL SolarVue & ClearVue,Primador Elite Sliding Door,0.35,0
X2 Regal Blue XHL SolarVue & ClearVue,Primador Elite Sliding Door,0.4,0
X2 Neutral HL SolarVue & ClearVue,Primador Elite Sliding Door,0.39,0
X2 Neutral XHL SolarVue & ClearVue,Primador Elite Sliding Door,0.45,0
X2 Neutral SHL SolarVue & ClearVue,Primador Elite Sliding Door,0.51,0
X2 Neutral MHL SolarVue & ClearVue,Primador Elite Sliding Door,0.55,0
X2 Serene Green HL Solarvue & Clearvue,Primador Elite Sliding Door,0.32,0
X2 Serene Green XHL Solarvue & Clearvue,Primador Elite Sliding Door,0.37,0
X2 Serene Green SHL Solarvue & Clearvue,Primador Elite Sliding Door,0.4,0
X2 Serene Green MHL Solarvue & Clearvue,Primador Elite Sliding Door,0.44,0
X2 Aquamarine S10 Solarshield & ClearVue,Primador Elite Sliding Door,0.16,0
X2 Aquamarine S20 Solarshield & ClearVue,Primador Elite Sliding Door,0.23,0
X2 Aquamarine S30 Solarshield & ClearVue,Primador Elite Sliding Door,0.3,0
X2 Blue S10 Solarshield & ClearVue,Primador Elite Sliding Door,0.16,0
X2 Blue S20 Solarshield & ClearVue,Primador Elite Sliding Door,0.24,0
X2 Blue S30 Solarshield & ClearVue,Primador Elite Sliding Door,0.31,0
X2 Bronze S10 Solarshield & ClearVue,Primador Elite Sliding Door,0.16,0
X2 Bronze S20 Solarshield & ClearVue,Primador Elite Sliding Door,0.22,0
X2 Bronze S30 Solarshield & ClearVue,Primador Elite Sliding Door,0.27,0
X2 Grey S10 Solarshield & ClearVue,Primador Elite Sliding Door,0.16,0
X2 Grey S20 Solarshield & ClearVue,Primador Elite Sliding Door,0.21,0
X2 Grey S30 Solarshield & ClearVue,Primador Elite Sliding Door,0.26,0
X2 Regal Blue S10 Solarshield & ClearVue,Primador Elite Sliding Door,0.16,0
X2 Regal Blue S20 Solarshield & ClearVue,Primador Elite Sliding Door,0.22,0
X2 Regal Blue S30 Solarshield & ClearVue,Primador Elite Sliding Door,0.29,0
X2 Silver S10 Solarshield & ClearVue,Primador Elite Sliding Door,0.15,0
X2 Silver S20 Solarshield & ClearVue,Primador Elite Sliding Door,0.25,0
X2 Silver S30 Solarshield & ClearVue,Primador Elite Sliding Door,0.32,0
X2 Serene Green S10 Solarshield & ClearVue,Primador Elite Sliding Door,0.17,0
X2 Serene Green S20 Solarshield & ClearVue,Primador Elite Sliding Door,0.23,0
X2 Serene Green S30 Solarshield & ClearVue,Primador Elite Sliding Door,0.29,0
X2 RESIDENTIAL PLUS,Primador Elite Sliding Door,0,0
X2 RESIDENTIAL ELITE,Primador Elite Sliding Door,0,0
X2 RESIDENTIAL SUPERIOR,Primador Elite Sliding Door,0,0
X2 Armourplate Low E & Clearvue,Primador Elite Sliding Door,0.64,0
X2 Armourplate Solar E & Clearvue,Primador Elite Sliding Door,0.43,0
X2 Intruderprufe Low E & Clearvue,Primador Elite Sliding Door,0.64,0
X2 Intruderprufe Solar E & Clearvue,Primador Elite Sliding Door,0.43,0
X2 Aquamarine  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.54,0
X2 Deep Aquamarine  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.42,0
X2 Coolblue  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.54,0
X2 Deep Coolblue  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.5,0
X2 Coolbronze  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.43,0
X2 Deep Coolbronze  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.32,0
X2 Coolgrey  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.42,0
X2 Deep Coolgrey  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.31,0
X2 Coral Rose Red  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.54,0
X2 Deep Red  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.32,0
X2 Evening Shadow Black  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.43,0
X2 Regal Blue  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.49,0
X2 Deep Regal Blue  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.43,0
X2 Ruby Red  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.53,0
X2 Sahara Sun Yellow  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.53,0
X2 Sapphire Blue  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.48,0
X2 Shadowlight 50  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.45,0
X2 Shadowlight 25  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.31,0
X2 Shadowlight 10  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.19,0
X2 True Blue  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.36,0
X2 Serene Green  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.42,0
X2 Deep Serene Green  ColourVue & Intruderprufe Low E,Primador Elite Sliding Door,0.33,0
X2 CoolVue Clear  & Intruderprufe low E,Primador Elite Sliding Door,0.34,0
X2 CoolVue Grey  & Intruderprufe low E,Primador Elite Sliding Door,0.21,0
X2 CoolVue Regal Blue  & Intruderprufe low E,Primador Elite Sliding Door,0.26,0
X2 CoolVue Serene Green & Intruderprufe low E,Primador Elite Sliding Door,0.27,0
X2 Aquamarine HL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.3,0
X2 Aquamarine XHL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.35,0
X2 Blue HL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.31,0
X2 Blue XHL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.36,0
X2 Bronze HL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.26,0
X2 Bronze XHL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.3,0
X2 Grey HL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.24,0
X2 Grey XHL SolarVue & Intruderprufe Low E,Primador Elite Sliding Door,0.28,0
