Product Description,Frame,SHGC,U-VALUE
X2 Blue S10 Solarshield & ClearVue,Aluminium/Steel,0.16,4.23
X2 Blue S20 Solarshield & ClearVue,Aluminium/Steel,0.24,4.23
X2 Blue S30 Solarshield & ClearVue,Aluminium/Steel,0.31,4.23
X2 Bronze S10 Solarshield & ClearVue,Aluminium/Steel,0.16,4.23
X2 Bronze S20 Solarshield & ClearVue,Aluminium/Steel,0.22,4.23
X2 Bronze S30 Solarshield & ClearVue,Aluminium/Steel,0.27,4.23
X2 Grey S10 Solarshield & ClearVue,Aluminium/Steel,0.16,4.23
X2 Grey S20 Solarshield & ClearVue,Aluminium/Steel,0.21,4.23
X2 Grey S30 Solarshield & ClearVue,Aluminium/Steel,0.26,4.23
X2 Regal Blue S10 Solarshield & ClearVue,Aluminium/Steel,0.16,4.23
X2 Regal Blue S20 Solarshield & ClearVue,Aluminium/Steel,0.22,4.23
X2 Regal Blue S30 Solarshield & ClearVue,Aluminium/Steel,0.29,4.23
X2 Silver S10 Solarshield & ClearVue,Aluminium/Steel,0.15,4.23
X2 Silver S20 Solarshield & ClearVue,Aluminium/Steel,0.25,4.23
X2 Silver S30 Solarshield & ClearVue,Aluminium/Steel,0.32,4.23
X2 Serene Green S10 Solarshield & ClearVue,Aluminium/Steel,0.17,4.23
X2 Serene Green S20 Solarshield & ClearVue,Aluminium/Steel,0.23,4.23
X2 Serene Green S30 Solarshield & ClearVue,Aluminium/Steel,0.29,4.23
X2 RESIDENTIAL PLUS,Aluminium/Steel,0,0
X2 RESIDENTIAL ELITE,Aluminium/Steel,0,0
X2 RESIDENTIAL SUPERIOR,Aluminium/Steel,0,0
X2 Armourplate Low E & Clearvue,Aluminium/Steel,0.64,3.4
X2 Armourplate Solar E & Clearvue,Aluminium/Steel,0.43,3.4
X2 Intruderprufe Low E & Clearvue,Aluminium/Steel,0.64,3.4
X2 Intruderprufe Solar E & Clearvue,Aluminium/Steel,0.43,3.4
X2 Aquamarine  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.54,3.4
X2 Deep Aquamarine  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.42,3.4
X2 Coolblue  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.54,3.4
X2 Deep Coolblue  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.5,3.4
X2 Coolbronze  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.43,3.4
X2 Deep Coolbronze  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.32,3.4
X2 Coolgrey  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.42,3.4
X2 Deep Coolgrey  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.31,3.4
X2 Coral Rose Red  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.54,3.4
X2 Deep Red  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.32,3.4
X2 Evening Shadow Black  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.43,3.4
X2 Regal Blue  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.49,3.4
X2 Deep Regal Blue  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.43,3.4
